"","sample_name","class","x","y","confidence"
"83","15-12184-1_[42736,11079].im3","CD4 NFAT+",935,125,"72.43 %"
"84","15-12184-1_[42736,11079].im3","Tumour",1256,127,"98.56 %"
"85","15-12184-1_[42736,11079].im3","Tumour",1176,127,"97.74 %"
"86","15-12184-1_[42736,11079].im3","Tumour",1158,129,"99.23 %"
"87","15-12184-1_[42736,11079].im3","unlabelled",1134,130,"35.22 %"
"88","15-12184-1_[42736,11079].im3","CD4 NFAT+",962,131,"81.38 %"
"89","15-12184-1_[42736,11079].im3","Tumour",1340,138,"84.83 %"
"90","15-12184-1_[42736,11079].im3","Tumour",998,132,"94.59 %"
"91","15-12184-1_[42736,11079].im3","Tumour",870,134,"95.21 %"
"92","15-12184-1_[42736,11079].im3","CD4 NFAT+",973,135,"79.39 %"
"93","15-12184-1_[42736,11079].im3","Tumour",1264,135,"96.42 %"
"94","15-12184-1_[42736,11079].im3","Tumour",907,136,"83.10 %"
"95","15-12184-1_[42736,11079].im3","CD4 NFAT+",945,137,"94.37 %"
"96","15-12184-1_[42736,11079].im3","Tumour",984,140,"59.40 %"
"97","15-12184-1_[42736,11079].im3","Tumour",1256,142,"98.02 %"
"98","15-12184-1_[42736,11079].im3","Tumour",1090,145,"95.82 %"
"99","15-12184-1_[42736,11079].im3","Tumour",1228,144,"96.82 %"
"100","15-12184-1_[42736,11079].im3","CD4 NFAT+",929,151,"82.02 %"
"101","15-12184-1_[42736,11079].im3","CD4 NFAT+",970,153,"96.69 %"
"102","15-12184-1_[42736,11079].im3","Tumour",1057,153,"69.61 %"
"103","15-12184-1_[42736,11079].im3","Tumour",1209,154,"97.70 %"
"104","15-12184-1_[42736,11079].im3","Tumour",1102,156,"98.63 %"
"105","15-12184-1_[42736,11079].im3","CD4 NFAT+",949,161,"96.65 %"
"106","15-12184-1_[42736,11079].im3","Tumour",988,161,"53.70 %"
"107","15-12184-1_[42736,11079].im3","Tumour",1113,162,"96.82 %"
"108","15-12184-1_[42736,11079].im3","Tumour",1288,162,"99.04 %"
"109","15-12184-1_[42736,11079].im3","Tumour",911,166,"98.96 %"
"110","15-12184-1_[42736,11079].im3","Tumour",1212,166,"96.62 %"
"111","15-12184-1_[42736,11079].im3","CD4 NFAT+",1263,169,"75.97 %"
"112","15-12184-1_[42736,11079].im3","Tumour",1005,171,"86.68 %"
"113","15-12184-1_[42736,11079].im3","Tumour",1222,171,"98.89 %"
"114","15-12184-1_[42736,11079].im3","Tumour",1243,173,"99.15 %"
"115","15-12184-1_[42736,11079].im3","Tumour",1033,180,"88.34 %"
"116","15-12184-1_[42736,11079].im3","Tumour",1271,176,"84.16 %"
"117","15-12184-1_[42736,11079].im3","Tumour",1100,177,"65.73 %"
"118","15-12184-1_[42736,11079].im3","CD4 NFAT+",928,179,"59.74 %"
"119","15-12184-1_[42736,11079].im3","CD4 NFAT+",907,181,"99.50 %"
"120","15-12184-1_[42736,11079].im3","CD4 NFAT+",958,180,"91.70 %"
"121","15-12184-1_[42736,11079].im3","Tumour",1001,181,"75.54 %"
"122","15-12184-1_[42736,11079].im3","Tumour",1219,182,"99.00 %"
"123","15-12184-1_[42736,11079].im3","Tumour",1257,189,"96.85 %"
"124","15-12184-1_[42736,11079].im3","Tumour",1277,189,"96.87 %"
"125","15-12184-1_[42736,11079].im3","Tumour",1339,188,"94.92 %"
"126","15-12184-1_[42736,11079].im3","Tumour",1226,190,"99.65 %"
"127","15-12184-1_[42736,11079].im3","CD4 NFAT+",1004,193,"53.57 %"
"128","15-12184-1_[42736,11079].im3","Tumour",1081,196,"71.55 %"
"129","15-12184-1_[42736,11079].im3","CD4 NFAT+",909,192,"98.76 %"
"130","15-12184-1_[42736,11079].im3","Tumour",945,199,"64.27 %"
"131","15-12184-1_[42736,11079].im3","Tumour",1135,196,"95.10 %"
"132","15-12184-1_[42736,11079].im3","Tumour",1273,201,"93.05 %"
"133","15-12184-1_[42736,11079].im3","Tumour",988,206,"81.92 %"
"134","15-12184-1_[42736,11079].im3","Tumour",1084,206,"51.41 %"
"135","15-12184-1_[42736,11079].im3","CD4 NFAT+",1203,206,"60.60 %"
"136","15-12184-1_[42736,11079].im3","Tumour",1128,205,"54.32 %"
"137","15-12184-1_[42736,11079].im3","Tumour",1152,206,"99.03 %"
"138","15-12184-1_[42736,11079].im3","CD4 NFAT+",1118,207,"94.00 %"
"139","15-12184-1_[42736,11079].im3","CD4 NFAT+",949,208,"81.86 %"
"140","15-12184-1_[42736,11079].im3","Tumour",998,212,"68.75 %"
"141","15-12184-1_[42736,11079].im3","Tumour",1106,215,"69.13 %"
"142","15-12184-1_[42736,11079].im3","Tumour",1142,216,"89.47 %"
"143","15-12184-1_[42736,11079].im3","Tumour",1008,217,"74.20 %"
"144","15-12184-1_[42736,11079].im3","Tumour",1074,217,"91.34 %"
"145","15-12184-1_[42736,11079].im3","CD4 NFAT+",958,218,"75.41 %"
"146","15-12184-1_[42736,11079].im3","CD4 NFAT+",1092,218,"98.37 %"
"147","15-12184-1_[42736,11079].im3","Tumour",1197,221,"30.40 %"
"148","15-12184-1_[42736,11079].im3","CD4 NFAT+",1121,223,"66.95 %"
"149","15-12184-1_[42736,11079].im3","CD4 NFAT+",967,227,"99.38 %"
"150","15-12184-1_[42736,11079].im3","Tumour",982,232,"79.96 %"
"151","15-12184-1_[42736,11079].im3","CD4 NFAT+",1025,229,"73.61 %"
"152","15-12184-1_[42736,11079].im3","Tumour",1109,228,"98.17 %"
"153","15-12184-1_[42736,11079].im3","Tumour",1057,230,"96.30 %"
"154","15-12184-1_[42736,11079].im3","CD4 NFAT+",807,231,"64.86 %"
"155","15-12184-1_[42736,11079].im3","CD4 NFAT+",1091,230,"55.09 %"
"156","15-12184-1_[42736,11079].im3","Tumour",1140,234,"94.16 %"
"157","15-12184-1_[42736,11079].im3","Tumour",816,232,"83.70 %"
"158","15-12184-1_[42736,11079].im3","CD4 NFAT+",830,235,"83.88 %"
"159","15-12184-1_[42736,11079].im3","Tumour",1198,237,"97.51 %"
"160","15-12184-1_[42736,11079].im3","Tumour",1262,239,"96.80 %"
"161","15-12184-1_[42736,11079].im3","Tumour",1296,237,"90.73 %"
"162","15-12184-1_[42736,11079].im3","CD4 NFAT+",1042,237,"74.23 %"
"163","15-12184-1_[42736,11079].im3","Tumour",1163,238,"91.61 %"
"164","15-12184-1_[42736,11079].im3","Tumour",1066,238,"55.83 %"
"165","15-12184-1_[42736,11079].im3","Tumour",1147,237,"98.61 %"
"166","15-12184-1_[42736,11079].im3","Tumour",858,241,"97.22 %"
"167","15-12184-1_[42736,11079].im3","Tumour",833,242,"95.67 %"
"168","15-12184-1_[42736,11079].im3","Tumour",994,244,"93.27 %"
"169","15-12184-1_[42736,11079].im3","CD4 NFAT+",1204,249,"74.54 %"
"170","15-12184-1_[42736,11079].im3","Tumour",876,248,"93.57 %"
"171","15-12184-1_[42736,11079].im3","Tumour",1098,249,"74.38 %"
"172","15-12184-1_[42736,11079].im3","Tumour",1109,258,"98.47 %"
"173","15-12184-1_[42736,11079].im3","Tumour",1232,257,"97.08 %"
"174","15-12184-1_[42736,11079].im3","Tumour",1066,253,"78.66 %"
"175","15-12184-1_[42736,11079].im3","Tumour",894,257,"96.96 %"
"176","15-12184-1_[42736,11079].im3","Tumour",1084,254,"88.35 %"
"177","15-12184-1_[42736,11079].im3","Tumour",825,257,"99.27 %"
"178","15-12184-1_[42736,11079].im3","Tumour",1281,256,"97.59 %"
"179","15-12184-1_[42736,11079].im3","Tumour",1296,264,"98.44 %"
"180","15-12184-1_[42736,11079].im3","Tumour",1310,264,"86.89 %"
"181","15-12184-1_[42736,11079].im3","CD4 NFAT+",839,267,"73.11 %"
"182","15-12184-1_[42736,11079].im3","Tumour",1248,267,"98.82 %"
"183","15-12184-1_[42736,11079].im3","CD4 NFAT+",857,269,"65.97 %"
"184","15-12184-1_[42736,11079].im3","Tumour",1153,270,"87.29 %"
"185","15-12184-1_[42736,11079].im3","CD4 NFAT+",875,272,"98.57 %"
"186","15-12184-1_[42736,11079].im3","Tumour",1121,271,"74.00 %"
"187","15-12184-1_[42736,11079].im3","CD4 NFAT+",1054,272,"44.43 %"
"188","15-12184-1_[42736,11079].im3","Tumour",1235,272,"87.98 %"
"189","15-12184-1_[42736,11079].im3","Tumour",1015,273,"97.31 %"
"190","15-12184-1_[42736,11079].im3","Tumour",1169,273,"90.58 %"
"191","15-12184-1_[42736,11079].im3","unlabelled",1277,278,"93.80 %"
"192","15-12184-1_[42736,11079].im3","Tumour",843,280,"86.67 %"
"193","15-12184-1_[42736,11079].im3","CD4 NFAT+",875,280,"98.89 %"
"194","15-12184-1_[42736,11079].im3","CD8 NFAT-",1067,280,"34.06 %"
"195","15-12184-1_[42736,11079].im3","CD4 NFAT+",788,283,"67.58 %"
"196","15-12184-1_[42736,11079].im3","Tumour",1255,281,"98.52 %"
"197","15-12184-1_[42736,11079].im3","Tumour",1098,281,"98.57 %"
"198","15-12184-1_[42736,11079].im3","Tumour",888,284,"81.73 %"
"199","15-12184-1_[42736,11079].im3","CD4 NFAT+",849,285,"99.78 %"
"200","15-12184-1_[42736,11079].im3","CD4 NFAT+",863,284,"99.50 %"
"201","15-12184-1_[42736,11079].im3","Tumour",1150,286,"78.53 %"
"202","15-12184-1_[42736,11079].im3","unlabelled",1068,287,"76.74 %"
"203","15-12184-1_[42736,11079].im3","Tumour",1189,289,"82.12 %"
"204","15-12184-1_[42736,11079].im3","unlabelled",1059,293,"71.95 %"
"205","15-12184-1_[42736,11079].im3","Tumour",1221,293,"96.53 %"
"206","15-12184-1_[42736,11079].im3","CD4 NFAT+",852,291,"86.09 %"
"207","15-12184-1_[42736,11079].im3","Tumour",1123,293,"94.22 %"
"208","15-12184-1_[42736,11079].im3","Tumour",1205,293,"79.81 %"
"209","15-12184-1_[42736,11079].im3","CD4 NFAT+",871,298,"97.75 %"
"210","15-12184-1_[42736,11079].im3","CD4 NFAT+",788,297,"97.99 %"
"211","15-12184-1_[42736,11079].im3","CD4 NFAT+",883,296,"88.63 %"
"212","15-12184-1_[42736,11079].im3","NFATc Only",1026,298,"99.97 %"
"213","15-12184-1_[42736,11079].im3","unlabelled",1073,300,"44.26 %"
"214","15-12184-1_[42736,11079].im3","Tumour",1095,301,"68.49 %"
"215","15-12184-1_[42736,11079].im3","Tumour",928,304,"82.56 %"
"216","15-12184-1_[42736,11079].im3","Tumour",1272,303,"85.28 %"
"217","15-12184-1_[42736,11079].im3","Tumour",1054,306,"74.12 %"
"218","15-12184-1_[42736,11079].im3","Tumour",1286,308,"95.57 %"
"219","15-12184-1_[42736,11079].im3","Tumour",1146,308,"99.08 %"
"220","15-12184-1_[42736,11079].im3","Tumour",1106,309,"87.21 %"
"221","15-12184-1_[42736,11079].im3","CD4 NFAT+",790,309,"99.79 %"
"222","15-12184-1_[42736,11079].im3","Tumour",1158,310,"77.08 %"
"223","15-12184-1_[42736,11079].im3","Tumour",1244,312,"97.87 %"
"224","15-12184-1_[42736,11079].im3","Tumour",921,314,"96.01 %"
"225","15-12184-1_[42736,11079].im3","Tumour",1180,311,"57.65 %"
