"","sample_name","class","x","y","confidence"
"1","15-12184-1_[42736,10579].im3","Tumour",1334,708,"97.17 %"
"2","15-12184-1_[42736,10579].im3","CD4 NFAT+",1329,738,"50.49 %"
"3","15-12184-1_[42736,10579].im3","Tumour",1308,747,"64.52 %"
"4","15-12184-1_[42736,10579].im3","Tumour",1338,749,"97.08 %"
"5","15-12184-1_[42736,10579].im3","Tumour",1301,766,"98.10 %"
"6","15-12184-1_[42736,10579].im3","Tumour",1156,772,"97.83 %"
"7","15-12184-1_[42736,10579].im3","Tumour",1177,771,"99.22 %"
"8","15-12184-1_[42736,10579].im3","Tumour",1298,780,"95.36 %"
"9","15-12184-1_[42736,10579].im3","Tumour",1148,783,"79.22 %"
"10","15-12184-1_[42736,10579].im3","Tumour",1196,788,"97.75 %"
"11","15-12184-1_[42736,10579].im3","Tumour",1191,802,"92.41 %"
"12","15-12184-1_[42736,10579].im3","Tumour",1236,809,"96.28 %"
"13","15-12184-1_[42736,10579].im3","Tumour",1153,812,"98.55 %"
"14","15-12184-1_[42736,10579].im3","Tumour",1312,818,"98.78 %"
"15","15-12184-1_[42736,10579].im3","Tumour",1189,822,"98.96 %"
"16","15-12184-1_[42736,10579].im3","unlabelled",1115,824,"64.47 %"
"17","15-12184-1_[42736,10579].im3","Tumour",1150,831,"97.11 %"
"18","15-12184-1_[42736,10579].im3","Tumour",1335,827,"99.15 %"
"19","15-12184-1_[42736,10579].im3","CD4 NFAT+",1227,834,"50.96 %"
"20","15-12184-1_[42736,10579].im3","Tumour",1210,840,"63.91 %"
"21","15-12184-1_[42736,10579].im3","Tumour",1157,844,"93.87 %"
"22","15-12184-1_[42736,10579].im3","Tumour",1294,843,"95.77 %"
"23","15-12184-1_[42736,10579].im3","Tumour",1325,848,"95.22 %"
"24","15-12184-1_[42736,10579].im3","Tumour",1249,849,"96.61 %"
"25","15-12184-1_[42736,10579].im3","Tumour",1052,856,"91.57 %"
"26","15-12184-1_[42736,10579].im3","Tumour",1138,855,"96.73 %"
"27","15-12184-1_[42736,10579].im3","Tumour",1213,854,"99.17 %"
"28","15-12184-1_[42736,10579].im3","Tumour",1306,857,"96.32 %"
"29","15-12184-1_[42736,10579].im3","Tumour",1185,861,"99.77 %"
"30","15-12184-1_[42736,10579].im3","Tumour",1332,860,"87.64 %"
"31","15-12184-1_[42736,10579].im3","Tumour",1284,866,"98.40 %"
"32","15-12184-1_[42736,10579].im3","Tumour",1048,869,"81.05 %"
"33","15-12184-1_[42736,10579].im3","Tumour",1244,868,"99.11 %"
"34","15-12184-1_[42736,10579].im3","Tumour",1069,875,"87.01 %"
"35","15-12184-1_[42736,10579].im3","Tumour",1338,875,"97.73 %"
"36","15-12184-1_[42736,10579].im3","Tumour",1027,879,"97.06 %"
"37","15-12184-1_[42736,10579].im3","Tumour",1318,879,"98.63 %"
"38","15-12184-1_[42736,10579].im3","Tumour",1221,880,"61.75 %"
"39","15-12184-1_[42736,10579].im3","Tumour",1181,884,"95.17 %"
"40","15-12184-1_[42736,10579].im3","Tumour",1203,886,"92.40 %"
"41","15-12184-1_[42736,10579].im3","Tumour",1254,887,"99.70 %"
"42","15-12184-1_[42736,10579].im3","Tumour",1339,893,"98.06 %"
"43","15-12184-1_[42736,10579].im3","Tumour",1235,895,"92.69 %"
"44","15-12184-1_[42736,10579].im3","Tumour",1178,894,"98.60 %"
"45","15-12184-1_[42736,10579].im3","Tumour",1050,902,"99.79 %"
"46","15-12184-1_[42736,10579].im3","Tumour",1043,899,"89.50 %"
"47","15-12184-1_[42736,10579].im3","Tumour",1191,908,"89.44 %"
"48","15-12184-1_[42736,10579].im3","Tumour",1280,910,"99.38 %"
"49","15-12184-1_[42736,10579].im3","Tumour",1219,909,"52.40 %"
