"","sample_name","class","x","y","confidence"
"1","15-12184-1_[42067,12579].im3","unlabelled",255,5,"97.64 %"
"2","15-12184-1_[42067,12579].im3","unlabelled",135,6,"90.48 %"
"3","15-12184-1_[42067,12579].im3","unlabelled",157,7,"95.92 %"
"4","15-12184-1_[42067,12579].im3","unlabelled",460,5,"98.39 %"
"5","15-12184-1_[42067,12579].im3","unlabelled",558,6,"97.44 %"
"6","15-12184-1_[42067,12579].im3","unlabelled",661,5,"99.09 %"
"7","15-12184-1_[42067,12579].im3","unlabelled",716,6,"97.54 %"
"8","15-12184-1_[42067,12579].im3","unlabelled",773,6,"98.58 %"
"9","15-12184-1_[42067,12579].im3","unlabelled",815,6,"99.23 %"
"10","15-12184-1_[42067,12579].im3","unlabelled",1046,5,"99.44 %"
"11","15-12184-1_[42067,12579].im3","unlabelled",1158,6,"98.90 %"
"12","15-12184-1_[42067,12579].im3","unlabelled",1204,6,"95.66 %"
"14","15-12184-1_[42067,12579].im3","unlabelled",331,5,"99.27 %"
"15","15-12184-1_[42067,12579].im3","unlabelled",584,5,"99.49 %"
"16","15-12184-1_[42067,12579].im3","unlabelled",685,7,"96.08 %"
"17","15-12184-1_[42067,12579].im3","unlabelled",738,6,"99.43 %"
"18","15-12184-1_[42067,12579].im3","unlabelled",959,5,"99.55 %"
"19","15-12184-1_[42067,12579].im3","unlabelled",1019,6,"97.24 %"
"20","15-12184-1_[42067,12579].im3","unlabelled",1060,6,"98.20 %"
"21","15-12184-1_[42067,12579].im3","unlabelled",1181,8,"96.97 %"
"22","15-12184-1_[42067,12579].im3","unlabelled",32,8,"58.98 %"
"23","15-12184-1_[42067,12579].im3","unlabelled",101,7,"89.10 %"
"24","15-12184-1_[42067,12579].im3","unlabelled",287,7,"96.00 %"
"25","15-12184-1_[42067,12579].im3","unlabelled",367,9,"93.08 %"
"26","15-12184-1_[42067,12579].im3","unlabelled",410,8,"94.40 %"
"27","15-12184-1_[42067,12579].im3","unlabelled",425,7,"98.51 %"
"28","15-12184-1_[42067,12579].im3","unlabelled",527,7,"97.98 %"
"29","15-12184-1_[42067,12579].im3","unlabelled",532,8,"98.68 %"
"30","15-12184-1_[42067,12579].im3","unlabelled",596,6,"99.00 %"
"31","15-12184-1_[42067,12579].im3","Tumour",620,5,"92.24 %"
"32","15-12184-1_[42067,12579].im3","unlabelled",640,7,"85.52 %"
"33","15-12184-1_[42067,12579].im3","unlabelled",885,9,"89.93 %"
"34","15-12184-1_[42067,12579].im3","unlabelled",1308,8,"84.58 %"
"35","15-12184-1_[42067,12579].im3","unlabelled",49,9,"81.93 %"
"36","15-12184-1_[42067,12579].im3","unlabelled",90,8,"89.03 %"
"37","15-12184-1_[42067,12579].im3","unlabelled",121,9,"65.89 %"
"38","15-12184-1_[42067,12579].im3","unlabelled",212,10,"73.96 %"
"39","15-12184-1_[42067,12579].im3","unlabelled",232,9,"80.92 %"
